0,1116
0,1147
0,1171
0,1214
0,1638
0,1654
0,2061
0,2077
0,2122
0,2147
0,2338
0,2356
0,2688
0,2705
0,2972
0,2978
0,3161
0,3161
0,3432
0,3452
0,3676
0,3721
0,3966
0,3976
0,4211
0,4221
0,4538
0,4561
0,5017
0,5039
0,5321
0,5334
0,5563
0,5585
0,5862
0,5884
0,6160
0,6175
0,6482
0,6487
0,6709
0,6722
0,6976
0,6996
0,7251
0,7271
0,7501
0,7522
0,7786
0,7807
0,8327
0,8327
0,8391
0,8415
0,8702
0,8707
0,8989
0,9001
0,9237
0,9257
0,9531
0,9540
0,9789
0,9808
0,10068
0,10096
0,10302
0,10306
0,10623
0,10643
0,10898
0,10918
0,11148
0,11168
0,11432
0,11450
0,11665
0,11687
0,16971
0,17038
0,17088
0,17105
0,17126
0,17338
0,17359
0,17538
0,17549
0,17726
0,17749
0,17882
0,17883
0,18038
0,18039
0,18182
0,18183
0,18338
0,18349
0,18449
0,18449
0,18593
0,18605
0,18716
0,18727
0,18860
0,18860
0,19405
0,19416
0,19449
0,19471
0,19593
0,19605
0,19716
0,19727
0,19849
0,19860
